JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458199.69656	7.760	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69712	7.751	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69769	7.745	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69825	7.741	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69882	7.770	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69938	7.758	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69993	7.749	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.70050	7.750	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.70107	7.750	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.70163	7.744	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
